id,nama_tempat,kategori,kabupaten,deskripsi,rating,harga_tiket_wni,harga_tiket_wna,jam_buka,aktivitas,latitude,longitude
1,Pantai Palasari,Pantai,Jembrana,"Pantai tersembunyi di dekat Waduk Palasari yang masih sangat sepi dan alami. Airnya tenang dengan pasir hitam bersih, dikelilingi pohon kelapa yang rindang. Belum banyak wisatawan yang mengetahui keberadaan pantai ini.",4.1,5000,10000,06.00-18.00,"Bersantai, berfoto, menikmati alam",-8.4021,114.6234
2,Air Terjun Tiu Kelep Jembrana,Alam,Jembrana,Air terjun kecil yang tersembunyi di hutan Jembrana dengan aliran air yang jernih dan segar. Jarang dikunjungi wisatawan sehingga suasananya masih sangat alami dan tenang.,4.2,10000,15000,07.00-17.00,"Trekking, berenang, berfoto",-8.3912,114.7105
3,Pura Rambut Siwi,Budaya,Jembrana,Pura Hindu sakral yang berdiri di atas tebing menghadap Selat Bali. Dipercaya menyimpan rambut suci Dang Hyang Nirartha. Pemandangan laut dari tebing sangat indah dan suasananya sangat spiritual.,4.5,20000,30000,07.00-17.00,"Wisata religi, berfoto, menikmati pemandangan laut",-8.5212,114.7042
4,Pantai Medewi,Pantai,Jembrana,"Pantai berpasir hitam yang sangat populer di kalangan peselancar internasional karena ombaknya yang panjang dan konsisten. Suasananya masih sangat alami dan sepi, jauh dari hiruk pikuk wisata Bali selatan.",4.4,0,0,06.00-18.00,"Surfing, bersantai, sunset viewing",-8.3836,114.8341
5,Taman Nasional Bali Barat,Alam,Jembrana,"Satu-satunya taman nasional di Bali yang menjadi habitat terakhir burung Jalak Bali yang hampir punah. Mencakup hutan tropis, savana, dan perairan laut yang kaya. Tersedia jalur trekking dan diving spektakuler.",4.4,25000,50000,07.00-17.00,"Trekking hutan, diving, snorkeling, bird watching",-8.1503,114.55
6,Pantai Banyupoh,Pantai,Buleleng,"Pantai hitam yang sangat sepi di Buleleng barat, jauh dari keramaian. Ombaknya tenang cocok untuk snorkeling. Masih sangat alami dengan suasana lokal yang autentik dan belum banyak wisatawan.",4.0,0,0,06.00-18.00,"Snorkeling, bersantai, menikmati suasana lokal",-8.1445,114.5891
7,Pura Dalem Jagaraga,Budaya,Buleleng,Pura kuno di Buleleng dengan relief ukiran batu yang sangat unik menggambarkan kehidupan masa kolonial Belanda termasuk gambar mobil dan pesawat terbang. Merupakan daya tarik seni ukir yang sangat berbeda dari pura lainnya di Bali.,4.3,20000,30000,08.00-17.00,"Wisata budaya, melihat ukiran relief unik, wisata sejarah",-8.1186,115.1697
8,Pura Beji Sangsit,Budaya,Buleleng,"Pura subak dengan ukiran batu pasir yang sangat halus dan rumit, dianggap sebagai salah satu karya seni ukir terbaik di Bali. Didedikasikan untuk Dewi Sri sebagai lambang kemakmuran dan kesuburan.",4.4,20000,30000,08.00-17.00,"Wisata budaya, melihat ukiran seni, berfoto",-8.1039,115.1282
9,Danau Tamblingan,Alam,Buleleng,"Danau suci yang dikelilingi hutan tropis lebat dan beberapa pura kuno di tepinya. Dapat dijelajahi dengan perahu tradisional. Suasananya sangat tenang, spiritual, dan magis. Belum terlalu ramai dikunjungi.",4.6,20000,30000,07.00-17.00,"Naik perahu, trekking hutan, wisata religi, berfoto, bird watching",-8.2449,115.1013
10,Air Terjun Aling Aling,Alam,Buleleng,"Kompleks air terjun bertingkat yang viral di media sosial karena menawarkan pengalaman natural water slide di bebatuan alami. Sangat unik dan berbeda dari air terjun biasa, sangat diminati wisatawan petualangan.",4.6,20000,30000,08.00-17.00,"Natural water slide, berenang, trekking, berfoto",-8.1815,115.0685
11,Air Panas Banjar,Alam,Buleleng,Pemandian air panas alami yang mengalir dari mulut naga batu dalam kolam bertingkat tradisional. Airnya yang hangat dan segar dipercaya berkhasiat untuk kesehatan kulit. Dikelilingi taman tropis yang asri.,4.4,30000,50000,08.00-18.00,"Berendam air panas, relaksasi, berfoto, wisata alam",-8.1736,114.9683
12,Air Terjun Gitgit,Alam,Buleleng,"Air terjun setinggi 35 meter yang dikelilingi hutan tropis lebat, merupakan salah satu air terjun paling mudah diakses di Bali. Trek menuju lokasi relatif ringan dan pemandangannya sangat indah.",4.3,15000,20000,08.00-17.00,"Trekking, berfoto, berenang di kolam alami",-8.2081,115.1299
13,Air Terjun Sekumpul,Alam,Buleleng,"Tujuh air terjun sekaligus di satu lembah hutan tropis yang lebat, dianggap sebagai air terjun paling indah di Bali. Memerlukan trekking 45 menit yang terbayar dengan panorama luar biasa. Viral di Instagram.",4.8,20000,30000,07.00-17.00,"Trekking, berfoto, berenang, menikmati alam tropis",-8.1673,115.1882
14,Pantai Pemuteran,Pantai,Buleleng,"Pantai tenang di Bali barat laut yang terkenal dengan program konservasi terumbu karang Biorock, sebuah program restorasi karang menggunakan arus listrik. Kaya biota laut dan sangat cocok untuk diving.",4.6,0,0,06.00-18.00,"Snorkeling, diving, konservasi terumbu karang, bersantai",-8.1216,114.5567
15,Pantai Lovina,Pantai,Buleleng,"Pantai berpasir hitam di Bali utara yang sangat terkenal dengan atraksi lumba-lumba liar di pagi hari. Dengan naik perahu tradisional, wisatawan bisa melihat lumba-lumba berenang bebas di habitat aslinya.",4.3,0,0,05.00-18.00,"Melihat lumba-lumba, snorkeling, berenang, sunrise viewing",-8.1574,115.026
16,Pantai Bias Tugel,Pantai,Karangasem,Pantai tersembunyi di dekat Pelabuhan Padangbai yang hanya bisa diakses dengan berjalan kaki 10 menit. Pasirnya putih bersih dan airnya sangat jernih berwarna biru toska. Masih sangat sepi dan alami.,4.6,10000,15000,07.00-18.00,"Berenang, snorkeling, berfoto, menikmati pantai sepi",-8.538,115.5067
17,Desa Wisata Tenganan,Budaya,Karangasem,Desa Bali Aga tertua yang masih mempertahankan tradisi leluhur pra-Hindu. Dikenal sebagai satu-satunya penghasil kain Geringsing yang langka menggunakan teknik tenun double ikat yang hanya ada di tiga tempat di dunia.,4.4,15000,25000,08.00-17.00,"Wisata budaya, melihat proses tenun kain Geringsing, belanja",-8.4884,115.581
18,Pantai Candidasa,Pantai,Karangasem,"Pantai yang tenang di pesisir timur Bali, cocok untuk snorkeling dan diving karena airnya yang jernih. Suasananya lebih santai dan alami dibandingkan pantai di Bali selatan, sangat cocok untuk relaksasi.",4.3,0,0,06.00-18.00,"Snorkeling, diving, bersantai, wisata budaya sekitar",-8.5069,115.5694
19,Pantai Virgin (Perasi),Pantai,Karangasem,Pantai tersembunyi yang masih sangat alami dan sepi di kawasan Karangasem barat. Pasir putihnya bersih dan air lautnya jernih. Sangat cocok untuk wisatawan yang mencari ketenangan jauh dari keramaian.,4.4,10000,15000,07.00-18.00,"Berenang, snorkeling, berfoto, bersantai",-8.4533,115.5987
20,Pantai Amed,Pantai,Karangasem,Pantai hitam di pesisir timur Bali yang sangat populer untuk diving dan snorkeling. Terdapat bangkai kapal USAT Liberty yang menjadi spot diving legendaris. Suasananya tenang dan pemandangan alam bawah lautnya sangat kaya.,4.6,0,0,06.00-18.00,"Diving, snorkeling di USAT Liberty, bersantai, sunrise viewing",-8.3484,115.653
21,Taman Ujung Istana Air,Budaya,Karangasem,"Istana air kerajaan Karangasem yang dibangun pada 1921 dengan kolam-kolam besar, jembatan indah, dan bangunan bergaya perpaduan Bali-Eropa yang megah. Menawarkan pemandangan indah ke Gunung Agung dan laut.",4.5,50000,75000,07.00-18.00,"Wisata sejarah, berfoto, menikmati arsitektur kerajaan",-8.5014,115.6018
22,Tirta Gangga,Budaya,Karangasem,"Taman air kerajaan dibangun tahun 1948 dengan kolam bertingkat, patung-patung khas Bali, dan air mancur yang sangat indah. Dikelilingi sawah hijau dengan latar Gunung Agung yang megah. Sangat Instagramable.",4.7,45000,90000,07.00-18.00,"Berfoto, berenang di kolam kerajaan, piknik, trekking",-8.4121,115.5765
23,Pura Lempuyang Gate of Heaven,Budaya,Karangasem,Pura Hindu kuno di kaki Gunung Lempuyang terkenal dengan gerbang Gate of Heaven menawarkan foto latar Gunung Agung yang epik. Satu dari destinasi foto paling viral di seluruh Asia. Wajib bangun pagi untuk antrean.,4.5,40000,70000,05.00-18.00,"Wisata religi, berfoto di gerbang surga, trekking, sunrise",-8.3932,115.6296
24,Pura Besakih,Budaya,Karangasem,"Pura terbesar dan tersuci di Bali, dikenal sebagai Ibu dari Semua Pura. Terletak di lereng Gunung Agung dan terdiri dari lebih dari 80 pura. Merupakan pusat keagamaan Hindu terpenting di Bali.",4.6,80000,150000,08.00-17.00,"Wisata religi, berfoto, trekking ringan, melihat Gunung Agung",-8.3741,115.453
25,Pura Goa Lawah,Budaya,Klungkung,Pura unik yang berdiri di mulut goa berisi ribuan kelelawar. Merupakan salah satu pura paling sakral di Bali yang dipercaya sebagai tempat bersemayam Naga Basuki. Pemandangan kelelawar keluar saat senja sangat dramatis.,4.3,15000,25000,07.00-17.00,"Wisata religi, melihat kelelawar, wisata budaya",-8.5541,115.4632
26,Kerta Gosa Klungkung,Budaya,Klungkung,Kompleks peradilan kerajaan Klungkung abad ke-18 yang terkenal dengan lukisan langit-langit bergaya Kamasan menggambarkan hukum karma. Merupakan situs sejarah terpenting Kerajaan Klungkung.,4.4,25000,50000,08.00-17.30,"Wisata sejarah, melihat lukisan tradisional, wisata budaya",-8.5394,115.4044
27,Tukad Unda River Tubing,Alam,Klungkung,Aktivitas wisata seru mengapung di atas ban menyusuri aliran Sungai Unda yang jernih dikelilingi pepohonan rindang. Sangat populer untuk wisata keluarga dan viral di media sosial sebagai aktivitas unik di Bali.,4.4,150000,200000,08.00-16.00,"River tubing, arung jeram ringan, berenang, berfoto di sungai",-8.549,115.4076
28,Crystal Bay Nusa Penida,Pantai,Klungkung,Pantai dengan air sangat jernih di Nusa Penida terkenal sebagai spot terbaik diving bersama ikan Mola-Mola raksasa pada musim Juli-Oktober. Dinding karang vertikal yang spektakuler menjadi daya tarik utama penyelam.,4.6,10000,15000,07.00-17.00,"Diving, snorkeling, berenang, berfoto",-8.7321,115.4416
29,Pantai Atuh Nusa Penida,Pantai,Klungkung,Pantai tersembunyi di Nusa Penida yang dapat diakses melalui tangga menuruni tebing kapur. Dikelilingi formasi batu karang raksasa dan air laut yang sangat jernih. Menjadi hidden gem yang viral di media sosial.,4.7,15000,20000,07.00-17.00,"Berenang, snorkeling, berfoto, menikmati hidden beach",-8.7684,115.5496
30,Bukit Teletubbies Nusa Penida,Alam,Klungkung,Perbukitan hijau bergelombang yang menyerupai latar belakang serial anak Teletubbies. Sangat viral di TikTok dan Instagram karena keunikan bentuk bukitnya yang seperti dari dunia fantasi. Pemandangan terbaik pagi hari.,4.5,10000,15000,06.00-18.00,"Berfoto, trekking, menikmati panorama perbukitan hijau",-8.6854,115.4889
31,Broken Beach Nusa Penida,Alam,Klungkung,Teluk melingkar alami yang terbentuk dari erosi batuan karang menciptakan pemandangan yang sangat unik dan dramatis. Ombak besar yang masuk melalui terowongan alami menambah dramatisme yang luar biasa.,4.7,10000,15000,07.00-17.00,"Berfoto, menikmati pemandangan alam, trekking",-8.9016,115.4606
32,Angels Billabong Nusa Penida,Alam,Klungkung,"Kolam alami yang terbentuk dari batuan karang di tepi laut Nusa Penida. Air di kolam ini jernih seperti kaca dan berwarna hijau toska, menjadikannya spot foto yang sangat viral di seluruh dunia.",4.6,10000,15000,07.00-17.00,"Berenang di kolam alami, berfoto, snorkeling",-8.9025,115.4583
33,Pantai Kelingking Nusa Penida,Pantai,Klungkung,Pantai tersembunyi dengan formasi tebing menyerupai T-Rex yang sangat ikonik dan paling viral di Bali. Pemandangan dari viewpoint atas tebing sangat spektakuler dengan air laut berwarna biru kehijauan yang memukau.,4.8,5000,5000,07.00-18.00,"Berfoto di viewpoint, trekking turun ke pantai, berenang",-8.875,115.4611
34,Pura Kehen Bangli,Budaya,Bangli,"Pura Hindu abad ke-11 yang terletak di atas bukit dengan 38 anak tangga menuju pintu masuk, dikelilingi pohon beringin raksasa berusia ratusan tahun. Merupakan pura negara Kerajaan Bangli yang sangat bersejarah.",4.5,30000,50000,08.00-17.00,"Wisata religi dan sejarah, berfoto, trekking tangga",-8.4541,115.3594
35,Tukad Cepung Waterfall,Alam,Bangli,Air terjun magis yang tersembunyi di dalam goa batu dengan sinar matahari yang masuk membentuk efek cahaya yang sangat dramatis dan sangat instagramable. Sangat viral di Instagram dan TikTok karena keindahan cahayanya.,4.7,20000,30000,08.00-17.00,"Berfoto dalam goa, trekking, berenang, efek cahaya dramatis",-8.4462,115.3607
36,Bali Twin Hills,Alam,Bangli,Spot wisata yang viral sejak awal 2025 dengan dua bukit yang tampak sejajar dan simetris seperti cermin alam. Pemandangan sunrise yang ganda dan dramatis menjadikannya trending di media sosial. Sering disebut Ranu Kumbolonya Bali.,4.6,25000,35000,05.00-17.00,"Sunrise hunting, berfoto, trekking ringan, menikmati panorama bukit",-8.3501,115.367
37,Pura Ulun Danu Batur,Budaya,Bangli,Pura terpenting kedua di Bali setelah Pura Besakih yang terletak di tepi Danau Batur. Kompleks pura ini memiliki 9 pura dengan arsitektur meru bertingkat yang indah dan bernilai spiritual sangat tinggi.,4.6,30000,50000,07.00-17.00,"Wisata religi, berfoto, menikmati pemandangan danau dan gunung",-8.2412,115.3748
38,Toya Devasya Hot Spring,Alam,Bangli,Pemandian air panas alami di tepi Danau Batur dengan pemandangan Gunung Batur yang memukau. Tersedia kolam renang dengan berbagai suhu air panas yang sangat cocok untuk relaksasi setelah pendakian.,4.5,125000,300000,08.00-18.00,"Berendam air panas, berenang, relaksasi, pemandangan danau",-8.2364,115.4041
39,Desa Wisata Penglipuran,Budaya,Bangli,"Desa adat Bali yang terkenal bersih dan rapi dengan tata ruang tradisional terjaga sempurna. Masuk dalam daftar desa terbersih di dunia, dikelilingi hutan bambu asri. Viral di media sosial karena arsitektur adatnya yang indah.",4.7,25000,50000,08.00-18.30,"Wisata budaya, berfoto, beli kerajinan, menyewa baju adat Bali",-8.4164,115.3603
40,Kintamani Gunung Danau Batur,Alam,Bangli,"Kawasan wisata alam dengan pemandangan spektakuler Gunung Batur aktif dan Danau Batur yang luas. Tersedia jalur pendakian, restoran dengan view kaldera, dan pengalaman memasak di panas bumi yang unik.",4.6,25000,50000,06.00-18.00,"Pendakian Gunung Batur, kuliner dengan view kaldera, bersepeda",-8.2436,115.3749
41,Air Terjun Blangsinga,Alam,Gianyar,Air terjun jernih mengalir deras di lembah hijau Gianyar. Akses mudah dan dekat dengan Ubud menjadikannya destinasi healing singkat yang favorit. Airnya sangat segar dan kolam alaminya nyaman untuk berenang.,4.5,20000,30000,08.00-17.00,"Berenang, berfoto, trekking ringan, menikmati alam",-8.5382,115.311
42,Air Terjun Kanto Lampo,Alam,Gianyar,Air terjun unik yang mengalir melewati bebatuan bertangga membentuk tirai air yang sangat fotogenik dan instagramable. Menjadi destinasi foto yang populer terutama di media sosial dan sering viral di TikTok.,4.5,20000,30000,08.00-17.00,"Berfoto, berenang, trekking ringan, menikmati alam",-8.5024,115.3447
43,Air Terjun Tegenungan,Alam,Gianyar,"Air terjun yang mudah diakses dekat Ubud dengan ketinggian 15 meter. Airnya segar dan deras, dikelilingi vegetasi hijau rimbun. Tersedia kolam renang alami yang sangat populer untuk wisatawan keluarga.",4.5,20000,30000,08.00-18.00,"Berenang, trekking, berfoto, menikmati alam",-8.5658,115.2857
44,Pura Gunung Kawi,Budaya,Gianyar,Situs purbakala berumur 1000 tahun yang diukir langsung ke dinding tebing setinggi 7 meter di lembah Sungai Pakerisan. Merupakan salah satu situs arkeologi terpenting dan paling dramatis di seluruh Bali.,4.6,50000,50000,08.00-18.00,"Wisata sejarah arkeologi, berfoto di situs purbakala, trekking",-8.4229,115.3158
45,Museum Agung Rai ARMA,Budaya,Gianyar,Museum seni terbesar di Bali yang menampilkan koleksi lukisan tradisional dan kontemporer dari seniman Bali dan internasional. Kompleks museum asri dikelilingi taman tropis yang indah di jantung Ubud.,4.5,100000,100000,09.00-18.00,"Melihat koleksi lukisan, wisata seni budaya, berfoto di taman",-8.5177,115.2651
46,Goa Gajah,Budaya,Gianyar,Situs arkeologi bersejarah abad ke-9 dengan goa meditasi bergambar ukiran wajah raksasa sebagai pintu masuk. Terdapat kolam pemandian kuno dan relief-relief batu yang sangat menarik dari masa kerajaan.,4.3,30000,50000,08.00-17.00,"Wisata budaya dan sejarah, berfoto, meditasi",-8.5244,115.2874
47,Hidden Canyon Beji Guwang,Alam,Gianyar,"Ngarai tersembunyi yang terbentuk dari erosi alami ribuan tahun lalu di aliran Sungai Guwang, Sukawati. Sangat viral di TikTok dan Instagram. Wisatawan menyusuri sungai sepanjang 3,5 km dengan pemandu lokal.",4.7,10000,17000,08.00-16.00,"Canyon trekking, menyusuri sungai, berfoto di ngarai, petualangan",-8.5783,115.293
